name,country,region,risk_tier,sector,standard_lead_time_days
Hsinchu Semiconductor Holdings 001,TW,Hsinchu,CRITICAL,SEMICONDUCTORS,38
Taichung Semiconductor Industries 002,TW,Taichung,HIGH,SEMICONDUCTORS,39
Hsinchu Semiconductor Works 003,TW,Hsinchu,HIGH,SEMICONDUCTORS,40
Taichung Semiconductor Group 004,TW,Taichung,HIGH,SEMICONDUCTORS,41
Gyeonggi Semiconductor Manufacturing 005,KR,Gyeonggi,MEDIUM,SEMICONDUCTORS,42
Chungcheong Semiconductor Partners 006,KR,Chungcheong,MEDIUM,SEMICONDUCTORS,43
Gyeonggi Semiconductor Systems 007,KR,Gyeonggi,CRITICAL,SEMICONDUCTORS,44
Kanto Semiconductor Solutions 008,JP,Kanto,HIGH,SEMICONDUCTORS,36
Kansai Semiconductor Holdings 009,JP,Kansai,MEDIUM,SEMICONDUCTORS,37
Guangdong Semiconductor Industries 010,CN,Guangdong,LOW,SEMICONDUCTORS,42
Jiangsu Semiconductor Works 011,CN,Jiangsu,CRITICAL,SEMICONDUCTORS,43
Texas Semiconductor Group 012,US,Texas Gulf Coast,HIGH,SEMICONDUCTORS,17
Ohio Semiconductor Manufacturing 013,US,Ohio Valley,HIGH,SEMICONDUCTORS,18
California Semiconductor Partners 014,US,California Bay Area,HIGH,SEMICONDUCTORS,19
Zhejiang Electronics Systems 015,CN,Zhejiang,HIGH,ELECTRONICS,32
Shanghai Electronics Solutions 016,CN,Shanghai Region,HIGH,ELECTRONICS,33
Shandong Electronics Holdings 017,CN,Shandong,MEDIUM,ELECTRONICS,34
Guangdong Electronics Industries 018,CN,Guangdong,MEDIUM,ELECTRONICS,35
Jiangsu Electronics Works 019,CN,Jiangsu,HIGH,ELECTRONICS,36
Michigan Electronics Group 020,US,Michigan Auto Belt,MEDIUM,ELECTRONICS,10
North Electronics Manufacturing 021,US,North Carolina Piedmont,CRITICAL,ELECTRONICS,11
Pacific Electronics Partners 022,US,Pacific Northwest,LOW,ELECTRONICS,5
Greater Electronics Systems 023,US,Greater Houston,MEDIUM,ELECTRONICS,6
Bac Electronics Solutions 024,VN,Bac Ninh,HIGH,ELECTRONICS,36
Binh Electronics Holdings 025,VN,Binh Duong,HIGH,ELECTRONICS,37
Nuevo Electronics Industries 026,MX,Nuevo Leon,HIGH,ELECTRONICS,14
Baja Electronics Works 027,MX,Baja California,MEDIUM,ELECTRONICS,15
Hsinchu Electronics Group 028,TW,Hsinchu,MEDIUM,ELECTRONICS,36
Chungcheong Electronics Manufacturing 029,KR,Chungcheong,HIGH,ELECTRONICS,30
Chubu Electronics Partners 030,JP,Chubu,MEDIUM,ELECTRONICS,29
New Automotive Systems 031,US,New Jersey Corridor,HIGH,AUTOMOTIVE,5
Arizona Automotive Solutions 032,US,Arizona Sun Corridor,HIGH,AUTOMOTIVE,6
Tennessee Automotive Holdings 033,US,Tennessee Valley,MEDIUM,AUTOMOTIVE,7
Illinois Automotive Industries 034,US,Illinois Midwest,MEDIUM,AUTOMOTIVE,8
Georgia Automotive Works 035,US,Georgia Southeast,HIGH,AUTOMOTIVE,9
Bavaria Automotive Group 036,DE,Bavaria,MEDIUM,AUTOMOTIVE,25
Baden-Wurttemberg Automotive Manufacturing 037,DE,Baden-Wurttemberg,CRITICAL,AUTOMOTIVE,26
North Automotive Partners 038,DE,North Rhine-Westphalia,LOW,AUTOMOTIVE,20
Bajio Automotive Systems 039,MX,Bajio,MEDIUM,AUTOMOTIVE,11
Nuevo Automotive Solutions 040,MX,Nuevo Leon,HIGH,AUTOMOTIVE,12
Kanto Automotive Holdings 041,JP,Kanto,HIGH,AUTOMOTIVE,31
Kansai Automotive Industries 042,JP,Kansai,HIGH,AUTOMOTIVE,32
Zhejiang Automotive Works 043,CN,Zhejiang,MEDIUM,AUTOMOTIVE,37
Shanghai Automotive Group 044,CN,Shanghai Region,MEDIUM,AUTOMOTIVE,38
Texas Aerospace Manufacturing 045,US,Texas Gulf Coast,CRITICAL,AEROSPACE_DEFENSE,13
Ohio Aerospace Partners 046,US,Ohio Valley,HIGH,AEROSPACE_DEFENSE,14
California Aerospace Systems 047,US,California Bay Area,HIGH,AEROSPACE_DEFENSE,15
Michigan Aerospace Solutions 048,US,Michigan Auto Belt,HIGH,AEROSPACE_DEFENSE,16
North Aerospace Holdings 049,US,North Carolina Piedmont,MEDIUM,AEROSPACE_DEFENSE,17
Bavaria Aerospace Industries 050,DE,Bavaria,MEDIUM,AEROSPACE_DEFENSE,33
Pacific Pharma Works 051,US,Pacific Northwest,CRITICAL,PHARMACEUTICALS,13
Greater Pharma Group 052,US,Greater Houston,HIGH,PHARMACEUTICALS,14
New Pharma Manufacturing 053,US,New Jersey Corridor,HIGH,PHARMACEUTICALS,15
Arizona Pharma Partners 054,US,Arizona Sun Corridor,HIGH,PHARMACEUTICALS,16
Tennessee Pharma Systems 055,US,Tennessee Valley,MEDIUM,PHARMACEUTICALS,17
Gujarat Pharma Solutions 056,IN,Gujarat,MEDIUM,PHARMACEUTICALS,49
Maharashtra Pharma Holdings 057,IN,Maharashtra,CRITICAL,PHARMACEUTICALS,50
Telangana Pharma Industries 058,IN,Telangana,HIGH,PHARMACEUTICALS,44
Shandong Pharma Works 059,CN,Shandong,MEDIUM,PHARMACEUTICALS,41
